# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.2-Mineplex-Core-Patch

chat.stan, boolean, 01
diamond.<player>, long, 0000000000000000
diamond.kasp3r3k, double, 3FF0000000000000
diamond.kraftowany, double, 4010000000000000
diamond.kupis01, double, 3FF0000000000000
drop.<player>.lvl, long, 0000000000000001
drop.<player>.punkty, long, 0000000000000000
drop.kasp3r3k.lvl, long, 0000000000000002
drop.kasp3r3k.punkty, double, 4046000000000000
drop.kraftowany.lvl, long, 000000000000001E
drop.kraftowany.punkty, long, 0000000000002711
drop.kupis01.lvl, long, 0000000000000000
drop.kupis01.punkty, double, 4037000000000000
drop.vip.wlaczony, boolean, 00
emerald.<player>, long, 0000000000000000
emerald.kasp3r3k, double, 4010000000000000
emerald.kraftowany, double, 402A000000000000
emerald.kupis01, double, 4018000000000000
ender.kraftowany.kom, boolean, 00
j0ined::dawon123, boolean, 01
j0ined::kasp3r3k, boolean, 01
j0ined::kraftowany, boolean, 01
j0ined::mrmusiek, boolean, 01
j0ined::pepq_, boolean, 01
j0ined::revist1337, boolean, 01
j0ined::rqb, boolean, 01
j0ined::shamonfejm, boolean, 01
j0ined::szwagru, boolean, 01
j0ined::tomson_, boolean, 01
j0ined::xpatrykplayx, boolean, 01
j0inx, double, 4026000000000000
jobs.budowniczy.<player>, boolean, 00
jobs.budowniczy.kraftowany, boolean, 00
jobs.drwal.<player>, boolean, 00
jobs.drwal.kraftowany, boolean, 00
jobs.gornik.<player>, boolean, 00
jobs.gornik.kraftowany, boolean, 01
jobs.kopacz.<player>, boolean, 00
jobs.kopacz.kraftowany, boolean, 00
jobs.lowca.<player>, boolean, 00
jobs.lowca.kraftowany, boolean, 00
jobs.wybierz.<player>, boolean, 00
jobs.wybierz.kraftowany, boolean, 01
jobs.zabojca.<player>, boolean, 00
jobs.zabojca.kraftowany, boolean, 00
kamien.<player>, long, 0000000000000000
kamien.kasp3r3k, double, 4082A80000000000
kamien.kraftowany, double, 409C0C0000000000
kamien.kupis01, double, 4071100000000000
lapis.<player>, long, 0000000000000000
lapis.kasp3r3k, double, 4024000000000000
moze.naprawa.vip.<player>, boolean, 01
moze.naprawa.vip.redziel, boolean, 00
ochrona.kraftowany, double, C0A68C0000000000
odwiedziny, long, 0000000000000000
odwiedziny.<player>, long, 0000000000000000
odwiedziny.dawon123, double, 4010000000000000
odwiedziny.kasp3r3k, double, 3FF0000000000000
odwiedziny.kraftowany, double, 4056800000000000
odwiedziny.mrmusiek, double, 4008000000000000
odwiedziny.pepq_, double, 4000000000000000
odwiedziny.revist1337, double, 4000000000000000
odwiedziny.rqb, double, 4008000000000000
odwiedziny.shamonfejm, double, 3FF0000000000000
odwiedziny.szwagru, double, 4024000000000000
odwiedziny.tomson_, double, 3FF0000000000000
odwiedziny.xpatrykplayx, double, 4032000000000000
praca.budowniczy.<player>, boolean, 00
praca.drwal.<player>, boolean, 00
praca.gornik.<player>, boolean, 00
praca.kopacz.<player>, boolean, 00
praca.lowca.<player>, boolean, 00
praca.wybierz.<player>, boolean, 00
praca.zabojca.<player>, boolean, 00
redstone.<player>, long, 0000000000000000
redstone.kasp3r3k, double, 4018000000000000
redstone.kraftowany, double, 4008000000000000
spam.dawon123.lastused, date, 810974696D657374616D700400000160DC2F8875
spam.kasp3r3k.lastused, date, 810974696D657374616D70040000015BEDECC073
spam.kraftowany.lastused, date, 810974696D657374616D700400000160DF857E28
spam.mctian0sik.lastused, date, 810974696D657374616D70040000015BDAB00DAE
spam.pepq_.lastused, date, 810974696D657374616D70040000015BCF1DA9E4
spam.rqb.lastused, date, 810974696D657374616D700400000160CD8CB24B
spam.szwagru.lastused, date, 810974696D657374616D70040000015BE8BB71FB
spam.tomson_.lastused, date, 810974696D657374616D70040000015BD4C6AE98
spam.xpatrykplayx.lastused, date, 810974696D657374616D700400000160DCD74EF9
spawn, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178094091AEFACDA130590179094050000000000000017A09C0A59D4F448FCBBF05706974636808BF42E10B0379617708C2B3D2C9
wegiel.<player>, long, 0000000000000000
wegiel.kasp3r3k, double, 4018000000000000
wegiel.kraftowany, double, 403D000000000000
wegiel.kupis01, double, 4000000000000000
zelazo.<player>, long, 0000000000000000
zelazo.kasp3r3k, double, 4030000000000000
zelazo.kraftowany, double, 4053400000000000
zelazo.kupis01, double, 4008000000000000
zloto.<player>, long, 0000000000000000
zloto.kasp3r3k, double, 4008000000000000
zloto.kraftowany, double, 4033000000000000
zloto.kupis01, double, 4008000000000000

