# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.1.2

chat.stan, boolean, 01
lastattacker::entity:071ec917-a7b5-4d9f-8a99-822011cc9012, string, 80063C6E6F6E653E
lastattacker::entity:73e78bf8-0644-468e-a393-63cfaf1fc7ad, string, 80063C6E6F6E653E
lastattacker::entity:510f843c-d184-45b7-aff3-2c07ad371dbc, string, 80063C6E6F6E653E
lastattacker::entity:646c2250-1612-4c60-ae87-b167d4498861, string, 80063C6E6F6E653E
lastattacker::entity:3508955e-43fa-4456-8d32-71139b37ec78, string, 800547656E5156
lastattacker::entity:cf65c8e2-15a2-403d-a793-1e84f0781624, string, 80063C6E6F6E653E
lastattacker::entity:f10577df-94cb-4d6b-98a4-b16120feb8c1, string, 80063C6E6F6E653E
logout::<none>, long, FFFFFFFFFFFFFFFF
logout::<player>, long, FFFFFFFFFFFFFFFF
logout::a4freez, long, FFFFFFFFFFFFFFFF
logout::genqv, long, FFFFFFFFFFFFFFFF
logout::xvipex1337, long, FFFFFFFFFFFFFFFF
logout::zenkvs2115_, long, FFFFFFFFFFFFFFFF
schowek.koxy.a4freez, long, 0000000000000000
schowek.koxy.dvdpolpolakyt, long, 0000000000000000
schowek.koxy.xvipex1337, double, 0000000000000000
schowek.koxy.zenexer, long, 0000000000000000
schowek.perly.a4freez, long, 0000000000000000
schowek.perly.dvdpolpolakyt, long, 0000000000000000
schowek.perly.xvipex1337, double, 0000000000000000
schowek.perly.zenexer, long, 0000000000000000
scmd.<player>, boolean, 00
scmd.genqv, boolean, 00
scmd.xvipex1337, boolean, 01
vanish.<player>, long, 0000000000000000
vanish.atak.<player>, long, 0000000000000001
vanish.budowanie.<player>, long, 0000000000000001
vanish.genqv, long, 0000000000000000
vanish.god.<player>, long, 0000000000000001
vanish.itemy.<player>, long, 0000000000000001
vanish.redstone.<player>, long, 0000000000000001

lastattacker::entity:0b2acb75-4209-4889-a04e-1e856c1f2e1f, string, 800D66616C6C696E6720626C6F636B
lastattacker::entity:50c8ac11-b93b-4c8f-863b-9651a3154091, string, 800D66616C6C696E6720626C6F636B
lastattacker::entity:f39801bb-3658-4ec6-9089-d60c4118f8cd, string, 800D66616C6C696E6720626C6F636B
lastattacker::entity:d606c61a-f932-4842-822e-47bc8a94f71b, string, 800D66616C6C696E6720626C6F636B
lastattacker::entity:93327110-35bf-4bcb-84ae-1d175fb1b443, string, 800D66616C6C696E6720626C6F636B
lastattacker::genqv, null, 
logout::genqv, long, FFFFFFFFFFFFFFFF
lastattacker::xvipex1337, null, 
lastattacker::a4freez, null, 
logout::a4freez, long, FFFFFFFFFFFFFFFF
lastattacker::a4freez, string, 80063C6E6F6E653E
lastattacker::a4freez, string, 80063C6E6F6E653E
lastattacker::a4freez, string, 80063C6E6F6E653E
lastattacker::a4freez, string, 80063C6E6F6E653E
lastattacker::a4freez, string, 80063C6E6F6E653E
lastattacker::a4freez, string, 80063C6E6F6E653E
lastattacker::a4freez, string, 80063C6E6F6E653E
lastattacker::a4freez, string, 80063C6E6F6E653E
lastattacker::a4freez, string, 80063C6E6F6E653E
lastattacker::a4freez, string, 80063C6E6F6E653E
lastattacker::a4freez, null, 
logout::a4freez, long, FFFFFFFFFFFFFFFF
lastattacker::a4freez, string, 80063C6E6F6E653E
lastattacker::a4freez, string, 80063C6E6F6E653E
lastattacker::a4freez, string, 80063C6E6F6E653E
lastattacker::a4freez, string, 80063C6E6F6E653E
lastattacker::a4freez, string, 80063C6E6F6E653E
lastattacker::a4freez, string, 80063C6E6F6E653E
lastattacker::a4freez, string, 80063C6E6F6E653E
lastattacker::a4freez, string, 80063C6E6F6E653E
lastattacker::a4freez, string, 80063C6E6F6E653E
lastattacker::genqv, null, 
lastattacker::a4freez, string, 80063C6E6F6E653E
lastattacker::a4freez, string, 80063C6E6F6E653E
lastattacker::a4freez, string, 80063C6E6F6E653E
lastattacker::a4freez, string, 80063C6E6F6E653E
lastattacker::a4freez, string, 80063C6E6F6E653E
lastattacker::a4freez, null, 
lastattacker::genqv, null, 
logout::genqv, long, FFFFFFFFFFFFFFFF
lastattacker::genqv, null, 
lastattacker::genqv, null, 
logout::genqv, long, FFFFFFFFFFFFFFFF
logout::<none>, long, FFFFFFFFFFFFFFFF
logout::<none>, long, FFFFFFFFFFFFFFFF
logout::<none>, long, FFFFFFFFFFFFFFFF
logout::<none>, long, FFFFFFFFFFFFFFFF
logout::<none>, long, FFFFFFFFFFFFFFFF
logout::<none>, long, FFFFFFFFFFFFFFFF
logout::<none>, long, FFFFFFFFFFFFFFFF
logout::<none>, long, FFFFFFFFFFFFFFFF
logout::<none>, long, FFFFFFFFFFFFFFFF
logout::<none>, long, FFFFFFFFFFFFFFFF
lastattacker::genqv, null, 
lastattacker::xvipex1337, null, 
logout::xvipex1337, long, FFFFFFFFFFFFFFFF
lastattacker::xvipex1337, null, 
lastattacker::entity:db44fc98-a7ac-41a0-8f44-7c7e14f17415, string, 800B5A656E6B7673323131355F
lastattacker::zenkvs2115_, null, 
lastattacker::entity:314b198b-8e76-4ee3-b1ae-3e7657ef4b2a, string, 8006656E74697479
lastattacker::entity:edf345df-178c-4a3b-a967-eea710d9c417, string, 8006656E74697479
lastattacker::entity:e790e81d-af4d-4898-b0d4-0165a41460d0, string, 8006656E74697479
lastattacker::entity:18fb8ad9-5579-457f-92df-f5f934d76c8e, string, 8006656E74697479
lastattacker::entity:41c51fcc-758b-49d9-8192-2a6c8e7b721f, string, 8006656E74697479
lastattacker::entity:bc70edaa-2cf7-4885-96f9-f15494d59324, string, 8006656E74697479
lastattacker::entity:dfaf73b3-299c-416f-b470-46957cce5440, string, 8006656E74697479
lastattacker::entity:32e403be-f3e5-48c3-afc6-c85cab89076a, string, 8006656E74697479
lastattacker::genqv, null, 
logout::genqv, long, FFFFFFFFFFFFFFFF
lastattacker::genqv, null, 
lastattacker::genqv, null, 
logout::genqv, long, FFFFFFFFFFFFFFFF
lastattacker::genqv, null, 
lastattacker::genqv, null, 
logout::genqv, long, FFFFFFFFFFFFFFFF
lastattacker::entity:a01ed5fb-5fdc-4385-a82a-cf3eb32846b6, string, 80063C6E6F6E653E
lastattacker::genqv, null, 
lastattacker::genqv, null, 
logout::genqv, long, FFFFFFFFFFFFFFFF
vanish.genqv, long, 0000000000000001
lastattacker::genqv, null, 
lastattacker::genqv, null, 
logout::genqv, long, FFFFFFFFFFFFFFFF
vanish.genqv, long, 0000000000000000
vanish.genqv, long, 0000000000000001
lastattacker::genqv, null, 
lastattacker::genqv, null, 
logout::genqv, long, FFFFFFFFFFFFFFFF
lastattacker::genqv, null, 
